timestamp,source_node,destination_node,channel_type,latency_ms,message_size,status
2025-01-01 00:00:04,NODE-7724,NODE-7514,RF,196,698,SUCCESS
2025-01-01 00:00:08,NODE-1382,NODE-9809,RF,236,606,SUCCESS
2025-01-01 00:00:10,NODE-7325,NODE-6773,SATCOM,209,1471,SUCCESS
2025-01-01 00:00:13,NODE-8273,NODE-2077,FIBER,205,568,SUCCESS
2025-01-01 00:00:15,NODE-5636,NODE-2933,FIBER,239,815,SUCCESS
2025-01-01 00:00:16,NODE-6974,NODE-8366,RF,1312,564,DELAY
2025-01-01 00:00:20,NODE-2688,NODE-4716,FIBER,210,880,SUCCESS
2025-01-01 00:00:22,NODE-3565,NODE-1526,FIBER,198,816,SUCCESS
2025-01-01 00:00:25,NODE-7600,NODE-2928,FIBER,147,855,SUCCESS
2025-01-01 00:00:27,NODE-2828,NODE-9712,RF,112,1018,SUCCESS
2025-01-01 00:00:28,NODE-5570,NODE-5693,SATCOM,246,544,SUCCESS
2025-01-01 00:00:30,NODE-8815,NODE-5510,RF,44,662,SUCCESS
2025-01-01 00:00:33,NODE-4248,NODE-7225,SATCOM,99,1034,SUCCESS
2025-01-01 00:00:34,NODE-5444,NODE-1293,SATCOM,226,1495,SUCCESS
2025-01-01 00:00:38,NODE-8516,NODE-4875,FIBER,237,941,SUCCESS
2025-01-01 00:00:40,NODE-7090,NODE-9403,FIBER,1188,1211,DELAY
2025-01-01 00:00:41,NODE-5781,NODE-8545,SATCOM,130,1301,SUCCESS
2025-01-01 00:00:45,NODE-6016,NODE-9946,FIBER,159,1329,SUCCESS
2025-01-01 00:00:47,NODE-6527,NODE-1686,RF,86,579,SUCCESS
2025-01-01 00:00:51,NODE-1137,NODE-3987,FIBER,196,1032,SUCCESS
2025-01-01 00:00:55,NODE-1034,NODE-8545,FIBER,150,524,SUCCESS
2025-01-01 00:00:57,NODE-7792,NODE-6970,RF,234,554,SUCCESS
2025-01-01 00:00:59,NODE-3373,NODE-9408,SATCOM,172,452,SUCCESS
2025-01-01 00:01:00,NODE-8971,NODE-1838,SATCOM,203,1007,SUCCESS
2025-01-01 00:01:04,NODE-5022,NODE-9309,SATCOM,170,1188,SUCCESS
2025-01-01 00:01:05,NODE-7185,NODE-9599,RF,219,853,SUCCESS
